iteration,number,color,parity,datetime
n/a,26,BLACK,EVEN,2023-12-31 01:23:01.421389
n/a,29,BLACK,EVEN,2023-12-31 01:23:27.876094
n/a,25,RED,EVEN,2023-12-31 01:23:28.409117
n/a,7,RED,EVEN,2023-12-31 01:23:28.736640
n/a,20,BLACK,EVEN,2023-12-31 01:23:29.065748
n/a,35,BLACK,EVEN,2023-12-31 01:23:29.418962
n/a,16,RED,EVEN,2023-12-31 01:23:29.744909
n/a,32,RED,EVEN,2023-12-31 01:23:34.575183
n/a,33,BLACK,EVEN,2023-12-31 01:23:34.900498
n/a,15,BLACK,EVEN,2023-12-31 01:23:35.279022
n/a,0,GREEN,n/a,2023-12-31 01:23:35.607190
n/a,14,RED,EVEN,2023-12-31 01:23:35.959103
n/a,25,RED,EVEN,2023-12-31 01:23:36.312399
n/a,13,BLACK,EVEN,2023-12-31 01:23:37.387892
n/a,25,RED,EVEN,2023-12-31 01:23:37.765746
n/a,2,BLACK,EVEN,2023-12-31 01:23:38.119761
n/a,0,GREEN,n/a,2023-12-31 01:23:38.472460n/a,25,RED,ODD,2023-12-31 02:20:05.684657
n/a,33,BLACK,ODD,2023-12-31 02:20:05.938689
n/a,3,RED,ODD,2023-12-31 02:20:06.161500
n/a,11,BLACK,ODD,2023-12-31 02:20:06.360525
n/a,9,RED,ODD,2023-12-31 02:20:06.583066
n/a,26,BLACK,EVEN,2023-12-31 02:20:06.781408
n/a,2,BLACK,EVEN,2023-12-31 02:20:07.004194
n/a,18,RED,EVEN,2023-12-31 02:20:07.228488
n/a,5,RED,ODD,2023-12-31 02:20:07.425920
n/a,3,RED,ODD,2023-12-31 02:20:07.623449
n/a,29,BLACK,ODD,2023-12-31 02:20:07.821955
n/a,21,RED,ODD,2023-12-31 02:20:08.019415
n/a,21,RED,ODD,2023-12-31 02:20:08.217591
n/a,2,BLACK,EVEN,2023-12-31 02:20:08.414016
n/a,31,BLACK,ODD,2023-12-31 02:20:08.612268
n/a,31,BLACK,ODD,2023-12-31 02:20:08.810423
n/a,31,BLACK,ODD,2023-12-31 02:20:08.982725
n/a,13,BLACK,ODD,2023-12-31 02:20:09.154459
n/a,4,BLACK,EVEN,2023-12-31 02:20:09.350376
n/a,35,BLACK,ODD,2023-12-31 02:20:09.523449
n/a,32,RED,EVEN,2023-12-31 02:20:09.721756
n/a,12,RED,EVEN,2023-12-31 02:20:09.920441
n/a,14,RED,EVEN,2023-12-31 02:20:10.116413
n/a,11,BLACK,ODD,2023-12-31 02:20:10.315393
n/a,25,RED,ODD,2023-12-31 02:20:10.512321
n/a,8,BLACK,EVEN,2023-12-31 02:20:10.709386
n/a,22,BLACK,EVEN,2023-12-31 02:20:10.882612
n/a,25,RED,ODD,2023-12-31 02:20:11.079443
n/a,7,RED,ODD,2023-12-31 02:20:11.272586
n/a,2,BLACK,EVEN,2023-12-31 02:20:11.475982
n/a,11,BLACK,ODD,2023-12-31 02:20:11.724103
n/a,10,BLACK,EVEN,2023-12-31 02:20:11.922532
n/a,1,RED,ODD,2023-12-31 02:20:12.094358
n/a,10,BLACK,EVEN,2023-12-31 02:20:12.266686
n/a,1,RED,ODD,2023-12-31 02:20:12.438494
n/a,4,BLACK,EVEN,2023-12-31 02:20:12.610725
n/a,9,RED,ODD,2023-12-31 02:20:12.783334
n/a,4,BLACK,EVEN,2023-12-31 02:20:12.954602
n/a,23,RED,ODD,2023-12-31 02:20:13.126215
n/a,31,BLACK,ODD,2023-12-31 02:20:13.295017
n/a,1,RED,ODD,2023-12-31 02:20:13.496444
n/a,12,RED,EVEN,2023-12-31 02:20:13.668469
n/a,17,BLACK,ODD,2023-12-31 02:20:13.834986
n/a,19,RED,ODD,2023-12-31 02:20:14.037067
n/a,21,RED,ODD,2023-12-31 02:20:14.204900
n/a,21,RED,ODD,2023-12-31 02:20:14.402959
n/a,14,RED,EVEN,2023-12-31 02:20:14.574327
n/a,4,BLACK,EVEN,2023-12-31 02:20:14.776408
n/a,32,RED,EVEN,2023-12-31 02:20:14.948459
n/a,26,BLACK,EVEN,2023-12-31 02:20:15.116459
n/a,15,BLACK,ODD,2023-12-31 02:20:15.313460
n/a,4,BLACK,EVEN,2023-12-31 02:20:15.510728
n/a,29,BLACK,ODD,2023-12-31 02:20:15.709408
n/a,13,BLACK,ODD,2023-12-31 02:20:21.678680
n/a,23,RED,ODD,2023-12-31 02:23:02.808891
n/a,0,GREEN,EVEN,2023-12-31 02:23:03.032488
n/a,23,RED,ODD,2023-12-31 02:23:03.282425
n/a,11,BLACK,ODD,2023-12-31 02:23:03.505614
n/a,22,BLACK,EVEN,2023-12-31 02:23:03.729460
n/a,14,RED,EVEN,2023-12-31 02:23:03.951783
n/a,20,BLACK,EVEN,2023-12-31 02:23:04.176272
n/a,16,RED,EVEN,2023-12-31 02:23:04.400465
n/a,6,BLACK,EVEN,2023-12-31 02:23:04.624022
n/a,14,RED,EVEN,2023-12-31 02:23:04.846993
n/a,23,RED,ODD,2023-12-31 02:23:05.070585
